Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit,date,customer_id,product,price,quantity,coupon_code,shipping_city,discount_pct,net_total,days_since_purchase
Central America and the Caribbean,Haiti,Cosmetics,Online,C,2013-12-27,554646337,2014-01-01,1031,437.2,263.33,450753.2,271493.23,179259.97,2013-12-27,554646337,Cosmetics,437.2,1031,SAVE15,Haiti,15,383140.22,4294
Europe,Italy,Clothes,Online,M,2013-12-17,278155219,2014-01-10,1165,109.28,35.84,127311.2,41753.6,85557.6,2013-12-17,278155219,Clothes,109.28,1165,SAVE10,Italy,10,114580.08,4304
Europe,Malta,Household,Offline,L,2015-03-10,243761575,2015-04-17,3322,668.27,502.54,2219992.94,1669437.88,550555.06,2015-03-10,243761575,Household,668.27,3322,NOCOUP,Malta,0,2219992.94,3856
Middle East and North Africa,Jordan,Household,Offline,L,2014-07-09,223389232,2014-07-18,4693,668.27,502.54,3136191.11,2358420.22,777770.89,2014-07-09,223389232,Household,668.27,4693,NOCOUP,Jordan,0,3136191.11,4100
Asia,Cambodia,Vegetables,Offline,H,2017-06-14,509274518,2017-06-29,4502,154.06,90.93,693578.12,409366.86,284211.26,2017-06-14,509274518,Vegetables,154.06,4502,NOCOUP,Cambodia,0,693578.12,3029
Central America and the Caribbean,Saint Kitts and Nevis ,Office Supplies,Online,H,2011-08-10,563966262,2011-08-29,9004,651.21,524.96,5863494.84,4726739.84,1136755.0,2011-08-10,563966262,Office Supplies,651.21,9004,NOCOUP,Saint Kitts And Nevis ,0,5863494.840000001,5164
Sub-Saharan Africa,Cameroon,Fruits,Online,H,2015-12-18,370325791,2016-02-06,6486,9.33,6.92,60514.38,44883.12,15631.26,2015-12-18,370325791,Fruits,9.33,6486,NOCOUP,Cameroon,0,60514.38,3573
Middle East and North Africa,Bahrain,Vegetables,Offline,L,2016-06-26,881526935,2016-07-19,2264,154.06,90.93,348791.84,205865.52,142926.32,2016-06-26,881526935,Vegetables,154.06,2264,NOCOUP,Bahrain,0,348791.84,3382
Australia and Oceania,Solomon Islands,Beverages,Offline,C,2015-05-11,871056020,2015-05-30,3688,47.45,31.79,174995.6,117241.52,57754.08,2015-05-11,871056020,Beverages,47.45,3688,NOCOUP,Solomon Islands,0,174995.6,3794
Europe,Monaco,Office Supplies,Online,M,2012-01-13,982711875,2012-01-17,5137,651.21,524.96,3345265.77,2696719.52,648546.25,2012-01-13,982711875,Office Supplies,651.21,5137,SAVE10,Monaco,10,3010739.193,5008
Sub-Saharan Africa,Comoros,Beverages,Offline,L,2014-08-10,580605828,2014-08-20,3022,47.45,31.79,143393.9,96069.38,47324.52,2014-08-10,580605828,Beverages,47.45,3022,NOCOUP,Comoros,0,143393.9,4068
Europe,Iceland,Meat,Online,L,2013-04-22,899161708,2013-04-28,786,421.89,364.69,331605.54,286646.34,44959.2,2013-04-22,899161708,Meat,421.89,786,NOCOUP,Iceland,0,331605.54,4543
Sub-Saharan Africa,Zambia,Cosmetics,Offline,M,2014-07-26,993115842,2014-08-20,3902,437.2,263.33,1705954.4,1027513.66,678440.74,2014-07-26,993115842,Cosmetics,437.2,3902,SAVE10,Zambia,10,1535358.96,4083
Middle East and North Africa,Egypt,Cereal,Online,C,2014-07-14,887517058,2014-08-20,4875,205.7,117.11,1002787.5,570911.25,431876.25,2014-07-14,887517058,Cereal,205.7,4875,NOCOUP,Egypt,0,1002787.5,4095
Sub-Saharan Africa,Togo,Clothes,Offline,L,2010-06-01,227726686,2010-06-28,8242,109.28,35.84,900685.76,295393.28,605292.48,2010-06-01,227726686,Clothes,109.28,8242,SAVE10,Togo,10,810617.184,5599
Middle East and North Africa,Saudi Arabia,Vegetables,Online,H,2011-11-04,529418551,2011-11-20,5569,154.06,90.93,857960.14,506389.17,351570.97,2011-11-04,529418551,Vegetables,154.06,5569,NOCOUP,Saudi Arabia,0,857960.14,5078
Middle East and North Africa,Morocco,Vegetables,Offline,L,2014-05-15,228578984,2014-06-26,456,154.06,90.93,70251.36,41464.08,28787.28,2014-05-15,228578984,Vegetables,154.06,456,NOCOUP,Morocco,0,70251.36,4155
Middle East and North Africa,Tunisia ,Office Supplies,Offline,L,2010-10-28,531506812,2010-11-23,3532,651.21,524.96,2300073.72,1854158.72,445915.0,2010-10-28,531506812,Office Supplies,651.21,3532,NOCOUP,Tunisia ,0,2300073.72,5450
Sub-Saharan Africa,Angola,Cosmetics,Offline,L,2010-04-01,464813363,2010-04-08,7458,437.2,263.33,3260637.6,1963915.14,1296722.46,2010-04-01,464813363,Cosmetics,437.2,7458,NOCOUP,Angola,0,3260637.6,5660
Asia,Vietnam,Cereal,Offline,H,2011-05-22,925422465,2011-06-02,1927,205.7,117.11,396383.9,225670.97,170712.93,2011-05-22,925422465,Cereal,205.7,1927,NOCOUP,Vietnam,0,396383.89999999997,5244
Europe,Belarus,Meat,Online,L,2014-01-20,630570447,2014-02-15,8663,421.89,364.69,3654833.07,3159309.47,495523.6,2014-01-20,630570447,Meat,421.89,8663,NOCOUP,Belarus,0,3654833.07,4270
Asia,Myanmar,Snacks,Offline,C,2015-05-05,167806136,2015-06-03,6420,152.58,97.44,979563.6,625564.8,353998.8,2015-05-05,167806136,Snacks,152.58,6420,SAVE15,Myanmar,15,832629.06,3800
Europe,Lithuania,Fruits,Offline,H,2013-05-25,644990861,2013-06-04,5984,9.33,6.92,55830.72,41409.28,14421.44,2013-05-25,644990861,Fruits,9.33,5984,NOCOUP,Lithuania,0,55830.72,4510
Europe,Switzerland,Baby Food,Offline,M,2011-03-26,540298449,2011-05-15,5173,255.28,159.42,1320563.44,824679.66,495883.78,2011-03-26,540298449,Baby Food,255.28,5173,SAVE10,Switzerland,10,1188507.096,5301
Central America and the Caribbean,Antigua and Barbuda ,Baby Food,Offline,M,2012-11-30,652215230,2013-01-06,3835,255.28,159.42,978998.8,611375.7,367623.1,2012-11-30,652215230,Baby Food,255.28,3835,SAVE10,Antigua And Barbuda ,10,881098.92,4686
Asia,Mongolia,Meat,Offline,M,2012-03-23,949540030,2012-03-26,8851,421.89,364.69,3734148.39,3227871.19,506277.2,2012-03-23,949540030,Meat,421.89,8851,SAVE10,Mongolia,10,3360733.551,4938
North America,Greenland,Fruits,Online,L,2011-07-30,121384179,2011-09-12,9131,9.33,6.92,85192.23,63186.52,22005.71,2011-07-30,121384179,Fruits,9.33,9131,NOCOUP,Greenland,0,85192.23,5175
Sub-Saharan Africa,Eritrea,Cosmetics,Offline,H,2010-08-30,527171504,2010-10-07,618,437.2,263.33,270189.6,162737.94,107451.66,2010-08-30,527171504,Cosmetics,437.2,618,SAVE15,Eritrea,15,229661.15999999997,5509
Europe,Lithuania,Baby Food,Online,C,2010-03-28,546638333,2010-04-28,1285,255.28,159.42,328034.8,204854.7,123180.1,2010-03-28,546638333,Baby Food,255.28,1285,SAVE10,Lithuania,10,295231.32,5664
Central America and the Caribbean,Saint Vincent and the Grenadines,Personal Care,Offline,L,2015-12-01,429833495,2015-12-08,6138,81.73,56.67,501658.74,347840.46,153818.28,2015-12-01,429833495,Personal Care,81.73,6138,VIP20,Saint Vincent And The Grenadines,20,401326.9920000001,3590
Europe,Portugal,Vegetables,Offline,L,2011-08-26,947118318,2011-09-08,2212,154.06,90.93,340780.72,201137.16,139643.56,2011-08-26,947118318,Vegetables,154.06,2212,NOCOUP,Portugal,0,340780.72000000003,5148
Middle East and North Africa,Somalia,Beverages,Offline,M,2016-07-17,239166629,2016-08-20,3575,47.45,31.79,169633.75,113649.25,55984.5,2016-07-17,239166629,Beverages,47.45,3575,SAVE10,Somalia,10,152670.375,3361
Middle East and North Africa,Turkey,Clothes,Online,M,2012-11-20,566964757,2012-12-07,6326,109.28,35.84,691305.28,226723.84,464581.44,2012-11-20,566964757,Clothes,109.28,6326,SAVE10,Turkey,10,622174.7520000001,4696
Middle East and North Africa,Israel,Vegetables,Offline,H,2010-07-23,661811530,2010-09-10,3594,154.06,90.93,553691.64,326802.42,226889.22,2010-07-23,661811530,Vegetables,154.06,3594,NOCOUP,Israel,0,553691.64,5547
Central America and the Caribbean,Dominica,Clothes,Online,H,2012-11-29,675318276,2012-12-28,540,109.28,35.84,59011.2,19353.6,39657.6,2012-11-29,675318276,Clothes,109.28,540,SAVE10,Dominica,10,53110.08,4687
Europe,Luxembourg,Meat,Offline,C,2013-01-07,829408824,2013-02-23,9357,421.89,364.69,3947624.73,3412404.33,535220.4,2013-01-07,829408824,Meat,421.89,9357,NOCOUP,Luxembourg,0,3947624.73,4648
Europe,Switzerland,Meat,Online,L,2012-07-31,966319501,2012-08-01,4269,421.89,364.69,1801048.41,1556861.61,244186.8,2012-07-31,966319501,Meat,421.89,4269,NOCOUP,Switzerland,0,1801048.41,4808
Asia,Singapore,Baby Food,Online,H,2010-08-01,998599135,2010-09-05,6530,255.28,159.42,1666978.4,1041012.6,625965.8,2010-08-01,998599135,Baby Food,255.28,6530,SAVE10,Singapore,10,1500280.56,5538
Europe,Cyprus,Snacks,Offline,C,2014-08-25,459109055,2014-10-13,9427,152.58,97.44,1438371.66,918566.88,519804.78,2014-08-25,459109055,Snacks,152.58,9427,SAVE15,Cyprus,15,1222615.911,4053
Sub-Saharan Africa,Botswana,Baby Food,Offline,H,2014-07-11,751023089,2014-08-13,3276,255.28,159.42,836297.28,522259.92,314037.36,2014-07-11,751023089,Baby Food,255.28,3276,SAVE10,Botswana,10,752667.552,4098
Central America and the Caribbean,Belize,Office Supplies,Online,C,2016-03-07,197827565,2016-04-21,428,651.21,524.96,278717.88,224682.88,54035.0,2016-03-07,197827565,Office Supplies,651.21,428,NOCOUP,Belize,0,278717.88,3493
Sub-Saharan Africa,Malawi,Clothes,Online,C,2015-04-15,793321311,2015-05-09,260,109.28,35.84,28412.8,9318.4,19094.4,2015-04-15,793321311,Clothes,109.28,260,SAVE10,Malawi,10,25571.52,3820
Asia,Kyrgyzstan,Personal Care,Online,H,2016-02-24,551615655,2016-03-23,4185,81.73,56.67,342040.05,237163.95,104876.1,2016-02-24,551615655,Personal Care,81.73,4185,VIP20,Kyrgyzstan,20,273632.04,3505
Europe,Macedonia,Snacks,Online,C,2012-10-11,257134425,2012-10-12,645,152.58,97.44,98414.1,62848.8,35565.3,2012-10-11,257134425,Snacks,152.58,645,SAVE15,Macedonia,15,83651.985,4736
Sub-Saharan Africa,Rwanda,Household,Online,C,2015-05-28,314613950,2015-05-29,114,668.27,502.54,76182.78,57289.56,18893.22,2015-05-28,314613950,Household,668.27,114,SAVE15,Rwanda,15,64755.363,3777
Sub-Saharan Africa,Cape Verde,Snacks,Offline,C,2016-05-19,299103057,2016-06-11,96,152.58,97.44,14647.68,9354.24,5293.44,2016-05-19,299103057,Snacks,152.58,96,SAVE15,Cape Verde,15,12450.528,3420
Middle East and North Africa,Pakistan,Office Supplies,Online,L,2016-09-14,305963075,2016-10-11,128,651.21,524.96,83354.88,67194.88,16160.0,2016-09-14,305963075,Office Supplies,651.21,128,NOCOUP,Pakistan,0,83354.88,3302
Asia,Kyrgyzstan,Baby Food,Offline,M,2014-08-24,500867831,2014-09-02,6777,255.28,159.42,1730032.56,1080389.34,649643.22,2014-08-24,500867831,Baby Food,255.28,6777,SAVE10,Kyrgyzstan,10,1557029.304,4054
Sub-Saharan Africa,Eritrea,Personal Care,Offline,H,2017-02-11,669803655,2017-03-14,8641,81.73,56.67,706228.93,489685.47,216543.46,2017-02-11,669803655,Personal Care,81.73,8641,VIP20,Eritrea,20,564983.1440000001,3152
Middle East and North Africa,Israel,Office Supplies,Online,C,2013-02-27,669069373,2013-04-10,1351,651.21,524.96,879784.71,709220.96,170563.75,2013-02-27,669069373,Office Supplies,651.21,1351,NOCOUP,Israel,0,879784.7100000001,4597
Middle East and North Africa,Libya,Meat,Offline,C,2015-08-09,875276315,2015-08-11,2567,421.89,364.69,1082991.63,936159.23,146832.4,2015-08-09,875276315,Meat,421.89,2567,NOCOUP,Libya,0,1082991.63,3704
Asia,Bangladesh,Snacks,Online,M,2011-11-03,835348308,2011-11-18,6982,152.58,97.44,1065313.56,680326.08,384987.48,2011-11-03,835348308,Snacks,152.58,6982,SAVE10,Bangladesh,10,958782.204,5079
Sub-Saharan Africa,Benin,Vegetables,Offline,M,2013-01-11,616521680,2013-02-22,1320,154.06,90.93,203359.2,120027.6,83331.6,2013-01-11,616521680,Vegetables,154.06,1320,SAVE10,Benin,10,183023.28000000003,4644
Sub-Saharan Africa,Burundi,Snacks,Online,H,2012-06-25,356345260,2012-07-31,9336,152.58,97.44,1424486.88,909699.84,514787.04,2012-06-25,356345260,Snacks,152.58,9336,SAVE15,Burundi,15,1210813.848,4844
Europe,Malta,Beverages,Offline,M,2012-02-21,712680375,2012-03-04,6815,47.45,31.79,323371.75,216648.85,106722.9,2012-02-21,712680375,Beverages,47.45,6815,SAVE10,Malta,10,291034.575,4969
Central America and the Caribbean,Saint Vincent and the Grenadines,Personal Care,Offline,C,2011-03-23,613700854,2011-04-17,6575,81.73,56.67,537374.75,372605.25,164769.5,2011-03-23,613700854,Personal Care,81.73,6575,VIP20,Saint Vincent And The Grenadines,20,429899.80000000005,5304
Asia,China,Cereal,Online,M,2010-01-04,407893025,2010-02-14,3465,205.7,117.11,712750.5,405786.15,306964.35,2010-01-04,407893025,Cereal,205.7,3465,SAVE10,Shanghai,10,641475.4500000001,5747
Central America and the Caribbean,Dominica,Cosmetics,Online,M,2013-08-23,514055716,2013-09-06,9365,437.2,263.33,4094378.0,2466085.45,1628292.55,2013-08-23,514055716,Cosmetics,437.2,9365,SAVE10,Dominica,10,3684940.2,4420
Europe,Albania,Cereal,Offline,L,2013-03-05,971300256,2013-03-20,8185,205.7,117.11,1683654.5,958545.35,725109.15,2013-03-05,971300256,Cereal,205.7,8185,NOCOUP,Albania,0,1683654.5,4591
Europe,Luxembourg,Vegetables,Offline,M,2012-02-02,989050471,2012-03-22,868,154.06,90.93,133724.08,78927.24,54796.84,2012-02-02,989050471,Vegetables,154.06,868,SAVE10,Luxembourg,10,120351.67200000002,4988
Middle East and North Africa,Pakistan,Cosmetics,Offline,L,2014-12-03,297042691,2015-01-08,388,437.2,263.33,169633.6,102172.04,67461.56,2014-12-03,297042691,Cosmetics,437.2,388,NOCOUP,Pakistan,0,169633.6,3953
Europe,Bulgaria,Clothes,Offline,H,2015-12-06,495325744,2016-01-10,6750,109.28,35.84,737640.0,241920.0,495720.0,2015-12-06,495325744,Clothes,109.28,6750,SAVE10,Bulgaria,10,663876.0,3585
Middle East and North Africa,Egypt,Cereal,Online,M,2010-06-05,104260957,2010-06-22,1989,205.7,117.11,409137.3,232931.79,176205.51,2010-06-05,104260957,Cereal,205.7,1989,SAVE10,Egypt,10,368223.57,5595
Sub-Saharan Africa,Central African Republic,Meat,Online,M,2013-09-21,414522159,2013-11-03,5173,421.89,364.69,2182436.97,1886541.37,295895.6,2013-09-21,414522159,Meat,421.89,5173,SAVE10,Central African Republic,10,1964193.2729999998,4391
Sub-Saharan Africa,Benin,Household,Offline,H,2011-11-28,537095677,2012-01-02,7401,668.27,502.54,4945866.27,3719298.54,1226567.73,2011-11-28,537095677,Household,668.27,7401,SAVE15,Benin,15,4203986.329499999,5054
Middle East and North Africa,Turkey,Household,Online,L,2011-01-22,553280341,2011-01-27,6803,668.27,502.54,4546240.81,3418779.62,1127461.19,2011-01-22,553280341,Household,668.27,6803,NOCOUP,Turkey,0,4546240.81,5364
Europe,Ukraine,Fruits,Offline,C,2010-10-03,164687478,2010-10-31,3539,9.33,6.92,33018.87,24489.88,8528.99,2010-10-03,164687478,Fruits,9.33,3539,NOCOUP,Ukraine,0,33018.87,5475
Sub-Saharan Africa,Uganda,Cosmetics,Online,H,2015-06-03,943240916,2015-06-19,4803,437.2,263.33,2099871.6,1264773.99,835097.61,2015-06-03,943240916,Cosmetics,437.2,4803,SAVE15,Uganda,15,1784890.86,3771
Sub-Saharan Africa,Ghana,Beverages,Offline,L,2015-05-27,481176984,2015-07-12,9817,47.45,31.79,465816.65,312082.43,153734.22,2015-05-27,481176984,Beverages,47.45,9817,NOCOUP,Ghana,0,465816.65,3778
Sub-Saharan Africa,Namibia,Vegetables,Offline,C,2013-06-19,941044509,2013-07-22,4837,154.06,90.93,745188.22,439828.41,305359.81,2013-06-19,941044509,Vegetables,154.06,4837,NOCOUP,Namibia,0,745188.22,4485
Sub-Saharan Africa,Republic of the Congo,Household,Online,C,2013-06-14,505704820,2013-06-17,8149,668.27,502.54,5445732.23,4095198.46,1350533.77,2013-06-14,505704820,Household,668.27,8149,SAVE15,Republic Of The Congo,15,4628872.3955,4490
Europe,Netherlands,Meat,Offline,L,2016-06-20,128331744,2016-07-15,5070,421.89,364.69,2138982.3,1848978.3,290004.0,2016-06-20,128331744,Meat,421.89,5070,NOCOUP,Netherlands,0,2138982.3,3388
Australia and Oceania,Australia,Cereal,Online,H,2017-02-14,382411611,2017-03-13,2948,205.7,117.11,606403.6,345240.28,261163.32,2017-02-14,382411611,Cereal,205.7,2948,NOCOUP,Australia,0,606403.6,3149
Europe,Montenegro,Snacks,Online,H,2014-11-14,111743247,2014-12-10,6165,152.58,97.44,940655.7,600717.6,339938.1,2014-11-14,111743247,Snacks,152.58,6165,SAVE15,Montenegro,15,799557.3450000001,3972
Middle East and North Africa,Iraq,Household,Online,L,2010-03-27,480437982,2010-03-30,1130,668.27,502.54,755145.1,567870.2,187274.9,2010-03-27,480437982,Household,668.27,1130,NOCOUP,Iraq,0,755145.1,5665
Sub-Saharan Africa,Cote d'Ivoire,Beverages,Online,H,2016-02-27,922919642,2016-03-27,1286,47.45,31.79,61020.7,40881.94,20138.76,2016-02-27,922919642,Beverages,47.45,1286,NOCOUP,Cote D'Ivoire,0,61020.700000000004,3502
North America,Mexico,Office Supplies,Offline,C,2016-05-12,493924558,2016-06-16,2108,651.21,524.96,1372750.68,1106615.68,266135.0,2016-05-12,493924558,Office Supplies,651.21,2108,NOCOUP,Mexico City,0,1372750.6800000002,3427
Europe,Slovakia,Vegetables,Online,C,2014-07-24,118501555,2014-09-04,6098,154.06,90.93,939457.88,554491.14,384966.74,2014-07-24,118501555,Vegetables,154.06,6098,NOCOUP,Slovakia,0,939457.88,4085
Europe,Bulgaria,Office Supplies,Online,H,2015-07-16,342011964,2015-08-20,7795,651.21,524.96,5076181.95,4092063.2,984118.75,2015-07-16,342011964,Office Supplies,651.21,7795,NOCOUP,Bulgaria,0,5076181.95,3728
Middle East and North Africa,Afghanistan,Office Supplies,Offline,H,2013-10-11,880129611,2013-11-15,8765,651.21,524.96,5707855.65,4601274.4,1106581.25,2013-10-11,880129611,Office Supplies,651.21,8765,NOCOUP,Afghanistan,0,5707855.65,4371
Asia,Indonesia,Cereal,Online,H,2012-05-28,168840825,2012-06-25,2607,205.7,117.11,536259.9,305305.77,230954.13,2012-05-28,168840825,Cereal,205.7,2607,NOCOUP,Indonesia,0,536259.9,4872
Europe,Italy,Cosmetics,Online,L,2011-10-30,314444434,2011-12-08,9951,437.2,263.33,4350577.2,2620396.83,1730180.37,2011-10-30,314444434,Cosmetics,437.2,9951,NOCOUP,Italy,0,4350577.2,5083
Europe,Ukraine,Cereal,Offline,M,2013-07-04,343551766,2013-07-08,3457,205.7,117.11,711104.9,404849.27,306255.63,2013-07-04,343551766,Cereal,205.7,3457,SAVE10,Ukraine,10,639994.4099999999,4470
Asia,Thailand,Office Supplies,Offline,M,2016-03-11,253086650,2016-03-11,2819,651.21,524.96,1835760.99,1479862.24,355898.75,2016-03-11,253086650,Office Supplies,651.21,2819,SAVE10,Thailand,10,1652184.891,3489
Sub-Saharan Africa,Mali,Office Supplies,Offline,M,2012-02-14,560285413,2012-02-28,9759,651.21,524.96,6355158.39,5123084.64,1232073.75,2012-02-14,560285413,Office Supplies,651.21,9759,SAVE10,Mali,10,5719642.551000001,4976
North America,Mexico,Personal Care,Offline,M,2013-07-14,952696883,2013-08-08,3034,81.73,56.67,247968.82,171936.78,76032.04,2013-07-14,952696883,Personal Care,81.73,3034,SAVE10,Mexico City,10,223171.93800000002,4460
Middle East and North Africa,Lebanon,Baby Food,Offline,H,2011-01-02,738182389,2011-01-24,3428,255.28,159.42,875099.84,546491.76,328608.08,2011-01-02,738182389,Baby Food,255.28,3428,SAVE10,Lebanon,10,787589.856,5384
Asia,South Korea,Beverages,Offline,M,2015-02-13,194915759,2015-03-18,8759,47.45,31.79,415614.55,278448.61,137165.94,2015-02-13,194915759,Beverages,47.45,8759,SAVE10,South Korea,10,374053.09500000003,3881
Middle East and North Africa,United Arab Emirates,Meat,Online,C,2014-10-19,121383321,2014-10-20,8877,421.89,364.69,3745117.53,3237353.13,507764.4,2014-10-19,121383321,Meat,421.89,8877,NOCOUP,United Arab Emirates,0,3745117.53,3998
Europe,Georgia,Household,Offline,C,2011-05-24,486383903,2011-05-31,660,668.27,502.54,441058.2,331676.4,109381.8,2011-05-24,486383903,Household,668.27,660,SAVE15,Georgia,15,374899.47,5242
Sub-Saharan Africa,Guinea-Bissau,Fruits,Offline,C,2014-11-23,879028832,2015-01-06,3020,9.33,6.92,28176.6,20898.4,7278.2,2014-11-23,879028832,Fruits,9.33,3020,NOCOUP,Guinea-Bissau,0,28176.6,3963
Europe,Georgia,Vegetables,Online,H,2017-06-02,958741939,2017-07-14,1900,154.06,90.93,292714.0,172767.0,119947.0,2017-06-02,958741939,Vegetables,154.06,1900,NOCOUP,Georgia,0,292714.0,3041
Sub-Saharan Africa,Malawi,Personal Care,Offline,C,2012-02-25,905259549,2012-04-13,5272,81.73,56.67,430880.56,298764.24,132116.32,2012-02-25,905259549,Personal Care,81.73,5272,VIP20,Malawi,20,344704.44800000003,4965
Middle East and North Africa,Saudi Arabia,Household,Online,M,2012-04-10,968630492,2012-05-25,8143,668.27,502.54,5441722.61,4092183.22,1349539.39,2012-04-10,968630492,Household,668.27,8143,SAVE10,Saudi Arabia,10,4897550.348999999,4920
Central America and the Caribbean,Saint Lucia,Fruits,Online,L,2016-11-22,119216096,2016-12-20,7547,9.33,6.92,70413.51,52225.24,18188.27,2016-11-22,119216096,Fruits,9.33,7547,NOCOUP,Saint Lucia,0,70413.51,3233
Europe,Macedonia,Snacks,Offline,H,2014-10-23,997690188,2014-11-26,7552,152.58,97.44,1152284.16,735866.88,416417.28,2014-10-23,997690188,Snacks,152.58,7552,SAVE15,Macedonia,15,979441.5360000001,3994
Sub-Saharan Africa,Rwanda,Beverages,Offline,H,2011-01-16,465039098,2011-01-26,4258,47.45,31.79,202042.1,135361.82,66680.28,2011-01-16,465039098,Beverages,47.45,4258,NOCOUP,Rwanda,0,202042.1,5370
Central America and the Caribbean,Dominica,Beverages,Online,C,2015-06-19,852561652,2015-08-02,794,47.45,31.79,37675.3,25241.26,12434.04,2015-06-19,852561652,Beverages,47.45,794,NOCOUP,Dominica,0,37675.3,3755
Middle East and North Africa,Libya,Baby Food,Offline,H,2016-04-15,511869180,2016-05-18,2320,255.28,159.42,592249.6,369854.4,222395.2,2016-04-15,511869180,Baby Food,255.28,2320,SAVE10,Libya,10,533024.64,3454
Sub-Saharan Africa,Angola,Personal Care,Offline,H,2014-02-26,564885509,2014-03-15,1030,81.73,56.67,84181.9,58370.1,25811.8,2014-02-26,564885509,Personal Care,81.73,1030,VIP20,Angola,20,67345.52,4233
Sub-Saharan Africa,Lesotho,Household,Offline,C,2010-10-07,853846967,2010-11-24,1147,668.27,502.54,766505.69,576413.38,190092.31,2010-10-07,853846967,Household,668.27,1147,SAVE15,Lesotho,15,651529.8365,5471
Sub-Saharan Africa,Mauritius ,Meat,Offline,M,2012-09-06,391302382,2012-09-18,3925,421.89,364.69,1655918.25,1431408.25,224510.0,2012-09-06,391302382,Meat,421.89,3925,SAVE10,Mauritius ,10,1490326.425,4771
Sub-Saharan Africa,Sudan,Snacks,Offline,M,2012-05-16,510113084,2012-06-01,2652,152.58,97.44,404642.16,258410.88,146231.28,2012-05-16,510113084,Snacks,152.58,2652,SAVE10,Sudan,10,364177.944,4884
Europe,Slovakia,Snacks,Offline,C,2014-09-29,813452899,2014-11-18,7644,152.58,97.44,1166321.52,744831.36,421490.16,2014-09-29,813452899,Snacks,152.58,7644,SAVE15,Slovakia,15,991373.292,4018
Asia,Japan,Cosmetics,Online,C,2010-08-11,524808156,2010-08-27,1251,437.2,263.33,546937.2,329425.83,217511.37,2010-08-11,524808156,Cosmetics,437.2,1251,SAVE15,Japan,15,464896.61999999994,5528
Europe,Estonia,Household,Online,H,2010-10-15,737977683,2010-10-24,2851,668.27,502.54,1905237.77,1432741.54,472496.23,2010-10-15,737977683,Household,668.27,2851,SAVE15,Estonia,15,1619452.1045,5463
Asia,Laos,Baby Food,Online,L,2012-01-05,367072808,2012-02-10,3856,255.28,159.42,984359.68,614723.52,369636.16,2012-01-05,367072808,Baby Food,255.28,3856,SAVE10,Laos,10,885923.712,5016
Europe,Belgium,Clothes,Online,C,2015-11-14,196517360,2015-12-22,2709,109.28,35.84,296039.52,97090.56,198948.96,2015-11-14,196517360,Clothes,109.28,2709,SAVE10,Belgium,10,266435.568,3607
